"Nom_de_la_commune","#Code_commune_INSEE","Code_postal","Ligne_5"
"ST FRAIGNE","16317","16140",
"ST FRONT","16318","16460",
"ST GENIS D HIERSAC","16320","16570",
"ST GEORGES","16321","16700",
"ST GERMAIN DE MONTBRON","16323","16380",
"ST GOURSON","16325","16700",
"ST GROUX","16326","16230",
"ST LAURENT DE CERIS","16329","16450",
"ST LAURENT DE COGNAC","16330","16100",
"ST LAURENT DES COMBES","16331","16480",
"ST MARTIAL","16334","16190",
"ST MARTIN DU CLOCHER","16335","16700",
"ST MARY","16336","16260",
"ST MAURICE DES LIONS","16337","16500",
"ST MEDARD","16338","16300",
"VAL D AUGE","16339","16170","ANVILLE"
"VAL D AUGE","16339","16170","AUGE"
"VAL D AUGE","16339","16170","AUGE ST MEDARD"
"VAL D AUGE","16339","16170","BONNEVILLE"
"VAL D AUGE","16339","16170","MONTIGNE"
"VAL D AUGE","16339","16170","ST MEDARD"
"ST MEME LES CARRIERES","16340","16720",
"ST MICHEL","16341","16470",
"ST PALAIS DU NE","16342","16300",
"ST PREUIL","16343","16130",
"ST QUENTIN SUR CHARENTE","16345","16150",
"ST QUENTIN DE CHALAIS","16346","16210",
"ST ROMAIN","16347","16210",
"ST SATURNIN","16348","16290",
"STE SEVERE","16349","16200",
"ST SEVERIN","16350","16390",
"ST SIMON","16352","16120",
"ST SORNIN","16353","16220",
"STE SOULINE","16354","16480",
"ST SULPICE DE RUFFEC","16356","16460",
"ST VALLIER","16357","16480",
"ST YRIEIX SUR CHARENTE","16358","16710",
"SALLES D ANGLES","16359","16130",
"SALLES DE BARBEZIEUX","16360","16300",
"SALLES DE VILLEFAGNAN","16361","16700",
"SALLES LAVALETTE","16362","16190",
"SAULGOND","16363","16420",
"SAUVAGNAC","16364","16310",
"SAUVIGNAC","16365","16480",
"SEGONZAC","16366","16130",
"SERS","16368","16410",
"SIGOGNE","16369","16200",
"SIREUIL","16370","16440",
"SOUFFRIGNAC","16372","16380",
"SOUVIGNE","16373","16240",
"SOYAUX","16374","16800",
"SUAUX","16375","16260",
"LA TACHE","16377","16260",
"TAIZE AIZIE","16378","16700",
"TAPONNAT FLEURIGNAC","16379","16110",
"LE TATRE","16380","16360",
"THEIL RABIER","16381","16240",
"TORSAC","16382","16410",
"TOURRIERS","16383","16560",
"TOUVERAC","16384","16360",
"TOUVRE","16385","16600",
"TRIAC LAUTRAIT","16387","16200",
"TRIAC LAUTRAIT","16387","16200","LANTIN"
"TROIS PALIS","16388","16730",
"TURGON","16389","16350",
"TUSSON","16390","16140",
"VALENCE","16392","16460",
"LA BOIXE","16393","16330","MONTIGNAC CHARENTE"
"LA BOIXE","16393","16330","VARS"
"VAUX LAVALETTE","16394","16320",
"VAUX ROUILLAC","16395","16170",
"VENTOUSE","16396","16460",
"VERDILLE","16397","16140",
"VERNEUIL","16398","16310",
"VERRIERES","16399","16130",
"VERTEUIL SUR CHARENTE","16400","16510",
"VERVANT","16401","16330",
"VIBRAC","16402","16120",
"LE VIEUX CERIER","16403","16350",
"VIEUX RUFFEC","16404","16350",
"VIGNOLLES","16405","16300",
"MOULINS SUR TARDOIRE","16406","16110","RANCOGNE"
"MOULINS SUR TARDOIRE","16406","16220","VILHONNEUR"
"VILLEBOIS LAVALETTE","16408","16320",
"VILLEFAGNAN","16409","16240",
"VILLEJOUBERT","16412","16560",
"VILLIERS LE ROUX","16413","16240",
"VILLOGNON","16414","16230",
"VINDELLE","16415","16430",
"VITRAC ST VINCENT","16416","16310",
"VOEUIL ET GIGET","16418","16400",
"VOUHARTE","16419","16330",
"VOULGEZAC","16420","16250",
"VOUTHON","16421","16220",
"VOUZAN","16422","16410",
"XAMBES","16423","16330",
"YVIERS","16424","16210",
"YVRAC ET MALLEYRAND","16425","16110",
"AGUDELLE","17002","17500",
"AIGREFEUILLE D AUNIS","17003","17290",
"ILE D AIX","17004","17123",
"ALLAS BOCAGE","17005","17150",
"ALLAS CHAMPAGNE","17006","17500",
"ANAIS","17007","17540",
"ANDILLY","17008","17230",
"ANDILLY","17008","17230","SERIGNY"
"ANGLIERS","17009","17540",
"ANGOULINS","17010","17690",
"ANNEPONT","17011","17350",
"ANNEZAY","17012","17380",
"ANTEZANT LA CHAPELLE","17013","17400",
"ANTEZANT LA CHAPELLE","17013","17400","LA CHAPELLE BATON"
"ARCES","17015","17120",
"ARCHIAC","17016","17520",
"ARCHINGEAY","17017","17380",
"ARDILLIERES","17018","17290",
"ARS EN RE","17019","17590",
"ARTHENAC","17020","17520",
"ARVERT","17021","17530",
"ASNIERES LA GIRAUD","17022","17400",
"AUJAC","17023","17770",
"AULNAY","17024","17470",
"AULNAY","17024","17470","SALLES LES AULNAY"
"AUMAGNE","17025","17770",
"AUMAGNE","17025","17770","CHAGNON"
"AUTHON EBEON","17026","17770",
"AUTHON EBEON","17026","17770","EBEON"
"AVY","17027","17800",
"AYTRE","17028","17440",
"BAGNIZEAU","17029","17160",
"BALANZAC","17030","17600",
"BALLANS","17031","17160",
"BALLON","17032","17290",
"LA BARDE","17033","17360",
"BARZAN","17034","17120",
"BAZAUGES","17035","17490",
"BEAUGEAY","17036","17620",
"BEAUVAIS SUR MATHA","17037","17490",
"BEDENAC","17038","17210",
"BELLUIRE","17039","17800",
"BENON","17041","17170",
"BERCLOUX","17042","17770",
"BERNAY ST MARTIN","17043","17330",
"BERNAY ST MARTIN","17043","17330","ST MARTIN DE LA COUDRE"
"BERNEUIL","17044","17460",
"BEURLAY","17045","17250",
"BIGNAY","17046","17400",
"BIRON","17047","17800",
"BLANZAC LES MATHA","17048","17160",
"BLANZAY SUR BOUTONNE","17049","17470",
"BOIS","17050","17240",
"LE BOIS PLAGE EN RE","17051","17580",
"BOISREDON","17052","17150",
"BORDS","17053","17430",
"BORESSE ET MARTRON","17054","17270",
"BOSCAMNANT","17055","17360",
"BOUGNEAU","17056","17800",
"BOUHET","17057","17540",
"BOURCEFRANC LE CHAPUS","17058","17560",
"BOURGNEUF","17059","17220",
"BOUTENAC TOUVENT","17060","17120",
"BRAN","17061","17210",
"BRESDON","17062","17490",
"BREUIL LA REORTE","17063","17700",
"BREUILLET","17064","17920",
"BREUIL MAGNE","17065","17870",
"BRIE SOUS ARCHIAC","17066","17520",
"BRIE SOUS MATHA","17067","17160",
"BRIE SOUS MORTAGNE","17068","17120",
"BRIVES SUR CHARENTE","17069","17800",
"BRIZAMBOURG","17070","17770",
"LA BROUSSE","17071","17160",
"BURIE","17072","17770",
"BUSSAC SUR CHARENTE","17073","17100",
"BUSSAC FORET","17074","17210",
"CABARIOT","17075","17430",
"CELLES","17076","17520",
"CERCOUX","17077","17270",
"CHADENAC","17078","17800",
"CHAILLEVETTE","17079","17890",
"CHAMBON","17080","17290",
"CHAMOUILLAC","17081","17130",
"CHAMPAGNAC","17082","17500",
"CHAMPAGNE","17083","17620",
"CHAMPAGNOLLES","17084","17240",
"CHAMPDOLENT","17085","17430",
"CHANIERS","17086","17610",
"CHANTEMERLE SUR LA SOIE","17087","17380",
"LA CHAPELLE DES POTS","17089","17100",
"CHARRON","17091","17230",
"CHARRON","17091","17230","BOURG CHAPON"
"CHARTUZAC","17092","17130",
"LE CHATEAU D OLERON","17093","17480",
"LE CHATEAU D OLERON","17093","17480","LA CHEVALERIE"
"LE CHATEAU D OLERON","17093","17480","LA GACONNIERE"
"LE CHATEAU D OLERON","17093","17480","ORS"
"CHATELAILLON PLAGE","17094","17340",
"CHATENET","17095","17210",
"CHAUNAC","17096","17130",
"LE CHAY","17097","17600",
"CHENAC ST SEURIN D UZET","17098","17120",
"CHEPNIERS","17099","17210",
"CHERAC","17100","17610",
"CHERBONNIERES","17101","17470",
"CHERMIGNAC","17102","17460",
"CHEVANCEAUX","17104","17210",
"CHIVES","17105","17510",
"CIERZAC","17106","17520",
"CIRE D AUNIS","17107","17290",
"CLAM","17108","17500",
"CLAVETTE","17109","17220",
"CLERAC","17110","17270",
"CLION","17111","17240",
"LA CLISSE","17112","17600",
"LA CLOTTE","17113","17360",
"COIVERT","17114","17330",
"COLOMBIERS","17115","17460",
"CONSAC","17116","17150",
"CONTRE","17117","17470",
"CORIGNAC","17118","17130",
"CORME ECLUSE","17119","17600",
"CORME ROYAL","17120","17600",
"LA COUARDE SUR MER","17121","17670",
"COULONGES","17122","17800",
"COURANT","17124","17330",
"COURCELLES","17125","17400",
"COURCERAC","17126","17160",
"COURCON","17127","17170",
"COURCOURY","17128","17100",
"COURPIGNAC","17129","17130",
"COUX","17130","17130",
"COZES","17131","17120",
"CRAM CHABAN","17132","17170",
"CRAVANS","17133","17260",
"CRAZANNES","17134","17350",
"CRESSE","17135","17160",
"CROIX CHAPEAU","17136","17220",
"LA CROIX COMTESSE","17137","17330",
"DAMPIERRE SUR BOUTONNE","17138","17470",
"DOEUIL SUR LE MIGNON","17139","17330",
"DOLUS D OLERON","17140","17550",
"DOMPIERRE SUR CHARENTE","17141","17610",
"DOMPIERRE SUR MER","17142","17139",
"DOMPIERRE SUR MER","17142","17139","CHAGNOLET"
"LE DOUHET","17143","17100",
"ECHEBRUNE","17145","17800",
"ECHILLAIS","17146","17620",
"ECHILLAIS","17146","17620","LA RENAISSANCE"
"ECOYEUX","17147","17770",
"ECURAT","17148","17810",
"LES EDUTS","17149","17510",
"LES EGLISES D ARGENTEUIL","17150","17400",
"L EGUILLE","17151","17600",
"EPARGNES","17152","17120",
"ESNANDES","17153","17137",
"LES ESSARDS","17154","17250",
"ETAULES","17155","17750",
"EXPIREMONT","17156","17130",
"FENIOUX","17157","17350",
"FERRIERES","17158","17170",
"FLEAC SUR SEUGNE","17159","17800",
"FLOIRAC","17160","17120",
"FLOIRAC","17160","17240","ST ROMAIN SUR GIRONDE"
"LA FLOTTE","17161","17630",
"FONTAINE CHALENDRAY","17162","17510",
"FONTAINES D OZILLAC","17163","17500",
"FONTCOUVERTE","17164","17100",
"FONTENET","17165","17400",
"FORGES","17166","17290",
"FORGES","17166","17290","PUYDROUARD"
"LE FOUILLOUX","17167","17270",
"FOURAS","17168","17450",
"GEAY","17171","17250",
"GEMOZAC","17172","17260",
"LA GENETOUZE","17173","17360",
"GENOUILLE","17174","17430",
"GERMIGNAC","17175","17520",
"GIBOURNE","17176","17160",
"LE GICQ","17177","17160",
"GIVREZAC","17178","17260",
"LES GONDS","17179","17100",
"GOURVILLETTE","17180","17490",
"GRANDJEAN","17181","17350",
"LA GREVE SUR MIGNON","17182","17170",
"GREZAC","17183","17120",
"LA GRIPPERIE ST SYMPHORIEN","17184","17620",
"LE GUA","17185","17600",
"LE GUE D ALLERE","17186","17540",
"GUITINIERES","17187","17500",
"HAIMPS","17188","17160",
"L HOUMEAU","17190","17137",
"LA JARD","17191","17460",
"JARNAC CHAMPAGNE","17192","17520",
"LA JARNE","17193","17220",
"LA JARRIE","17194","17220",
"LA JARRIE AUDOUIN","17195","17330",
"JAZENNES","17196","17260",
"JONZAC","17197","17500",
"JUICQ","17198","17770",
"JUSSAS","17199","17130",
"LAGORD","17200","17140",
"LA LAIGNE","17201","17170",
"LANDES","17202","17380",
"LANDRAIS","17203","17290",
"LEOVILLE","17204","17500",
"LOIRE LES MARAIS","17205","17870",
"LOIRE SUR NIE","17206","17470",
"LOIX","17207","17111",
"LONGEVES","17208","17230",
"LONZAC","17209","17520",
"LORIGNAC","17210","17240",
"LOULAY","17211","17330",
"LOUZIGNAC","17212","17160",
"LOZAY","17213","17330",
"LUCHAT","17214","17600",
"LUSSAC","17215","17500",
"LUSSANT","17216","17430",
"MACQUEVILLE","17217","17490",
"MARANS","17218","17230",
"MARENNES HIERS BROUAGE","17219","17320","BROUAGE"
"MARENNES HIERS BROUAGE","17219","17320","HIERS BROUAGE"
"MARENNES HIERS BROUAGE","17219","17320","MARENNES"
"MARIGNAC","17220","17800",
"MARSAIS","17221","17700",
"MARSAIS","17221","17700","BOISSE"
"MARSILLY","17222","17137",
"MASSAC","17223","17490",
"MATHA","17224","17160",
"LES MATHES","17225","17570",
"MAZERAY","17226","17400",
"MAZEROLLES","17227","17800",
"MEDIS","17228","17600",
"MERIGNAC","17229","17210",
"MESCHERS SUR GIRONDE","17230","17132",
"MESSAC","17231","17130",
"MEURSAC","17232","17120",
"MEUX","17233","17500",
"MIGRE","17234","17330",
"MIGRON","17235","17770",
"MIRAMBEAU","17236","17150",
"MIRAMBEAU","17236","17150","PETIT NIORT"
"MOEZE","17237","17780",
"MONS","17239","17160",
"MONTENDRE","17240","17130",
"MONTENDRE","17240","17130","CHARDES"
"MONTENDRE","17240","17130","VALLET"
"MONTGUYON","17241","17270",
"MONTILS","17242","17800",
"MONTLIEU LA GARDE","17243","17210",
"MONTPELLIER DE MEDILLAN","17244","17260",
"MONTROY","17245","17220",
"MORAGNE","17246","17430",
"MORNAC SUR SEUDRE","17247","17113",
"MORTAGNE SUR GIRONDE","17248","17120",
"MORTIERS","17249","17500",
"MOSNAC","17250","17240",
"LE MUNG","17252","17350",
"MURON","17253","17430",
"NACHAMPS","17254","17380",
"NANCRAS","17255","17600",
"NANTILLE","17256","17770",
"NERE","17257","17510",
"NEUILLAC","17258","17520",
"NEULLES","17259","17500",
"NEUVICQ","17260","17270",
"NEUVICQ LE CHATEAU","17261","17490",
"NIEUL LES SAINTES","17262","17810",
"NIEUL LE VIROUIL","17263","17150",
"NIEUL SUR MER","17264","17137",
"NIEUL SUR MER","17264","17137","LAUZIERES"
"NIEULLE SUR SEUDRE","17265","17600",
"LES NOUILLERS","17266","17380",
"NUAILLE D AUNIS","17267","17540",
"RIVES DE BOUTONNE","17268","17470","NUAILLE SUR BOUTONNE"
"RIVES DE BOUTONNE","17268","17470","ST GEORGES DE LONGUEPIERRE"
"ORIGNOLLES","17269","17210",
"OZILLAC","17270","17500",
"PAILLE","17271","17470",
"PERIGNAC","17273","17800",
"PERIGNY","17274","17180",
"PESSINES","17275","17810",
"LE PIN","17276","17210",
"ESSOUVERT","17277","17400","LA BENATE"
"ESSOUVERT","17277","17400","ST DENIS DU PIN"
"PISANY","17278","17600",
"PLASSAC","17279","17240",
"PLASSAY","17280","17250",
"POLIGNAC","17281","17210",
"POMMIERS MOULONS","17282","17130",
"POMMIERS MOULONS","17282","17130","MOULONS"
"PONS","17283","17800",
"PONT L ABBE D ARNOULT","17284","17250",
"PORT D ENVAUX","17285","17350",
"LES PORTES EN RE","17286","17880",
"POUILLAC","17287","17210",
"POURSAY GARNAUD","17288","17400",
"PREGUILLAC","17289","17460",
"PRIGNAC","17290","17160",
"PUILBOREAU","17291","17138",
"PUY DU LAC","17292","17380",
"PUYRAVAULT","17293","17700",
"PUYROLLAND","17294","17380",
"REAUX SUR TREFLE","17295","17500","MOINGS"
"REAUX SUR TREFLE","17295","17500","REAUX"
"REAUX SUR TREFLE","17295","17500","ST MAURICE DE TAVERNOLE"
"RETAUD","17296","17460",
"RIVEDOUX PLAGE","17297","17940",
"RIOUX","17298","17460",
"ROCHEFORT","17299","17300",
"LA ROCHELLE","17300","17000",
"LA ROCHELLE","17300","17000","LA PALLICE"
"LA ROCHELLE","17300","17000","VILLENEUVE LES SALINES"
"ROMAZIERES","17301","17510",
"ROMEGOUX","17302","17250",
"LA RONDE","17303","17170",
"ROUFFIAC","17304","17800",
"ROUFFIGNAC","17305","17130",
"ROYAN","17306","17200",
"SABLONCEAUX","17307","17600",
"ST AGNANT","17308","17620",
"ST AIGULIN","17309","17360",
"ST ANDRE DE LIDON","17310","17260",
"ST AUGUSTIN","17311","17570",
"ST BONNET SUR GIRONDE","17312","17150",
"ST BRIS DES BOIS","17313","17770",
"ST CESAIRE","17314","17770",
"ST CHRISTOPHE","17315","17220",
"ST CIERS CHAMPAGNE","17316","17520",
"ST CIERS DU TAILLON","17317","17240",
"ST CLEMENT DES BALEINES","17318","17590",
"ST CLEMENT DES BALEINES","17318","17590","LE GILLIEUX"
"STE COLOMBE","17319","17210",
"ST COUTANT LE GRAND","17320","17430",
"ST CREPIN","17321","17380",
"ST CYR DU DORET","17322","17170",
"ST DENIS D OLERON","17323","17650",
"ST DIZANT DU BOIS","17324","17150",
"ST DIZANT DU GUA","17325","17240",
"ST EUGENE","17326","17520",
"ST FELIX","17327","17330",
"ST FORT SUR GIRONDE","17328","17240",
"ST FROULT","17329","17780",
"STE GEMME","17330","17250",
"ST GENIS DE SAINTONGE","17331","17240",
"ST GEORGES ANTIGNAC","17332","17240",
"ST GEORGES ANTIGNAC","17332","17240","ANTIGNAC"
"ST GEORGES DE DIDONNE","17333","17110",
"ST GEORGES DES AGOUTS","17335","17150",
"ST GEORGES DES COTEAUX","17336","17810",
"ST GEORGES D OLERON","17337","17190",
"ST GEORGES D OLERON","17337","17190","BOYARDVILLE"
"ST GEORGES D OLERON","17337","17190","CHAUCRE"
"ST GEORGES D OLERON","17337","17190","CHERAY"
"ST GEORGES D OLERON","17337","17190","DOMINO"
"ST GEORGES D OLERON","17337","17190","SAUZELLE"
"ST GEORGES DU BOIS","17338","17700",
"ST GERMAIN DE LUSIGNAN","17339","17500",
"ST PIERRE LA NOUE","17340","17700","PERE"
"ST PIERRE LA NOUE","17340","17700","ST GERMAIN DE MARENCENNES"
"ST GERMAIN DE VIBRAC","17341","17500",
"ST GERMAIN DU SEUDRE","17342","17240",
"ST GREGOIRE D ARDENNES","17343","17240",
"ST HILAIRE DE VILLEFRANCHE","17344","17770",
"ST HILAIRE DE VILLEFRANCHE","17344","17770","LA FREDIERE"
"ST HILAIRE DU BOIS","17345","17500",
"ST HIPPOLYTE","17346","17430",
"ST JEAN D ANGELY","17347","17400",
"ST JEAN D ANGLE","17348","17620",
"ST JEAN DE LIVERSAY","17349","17170",
"ST JULIEN DE L ESCAP","17350","17400",
"ST JUST LUZAC","17351","17320",
"ST JUST LUZAC","17351","17320","LUZAC"
"ST LAURENT DE LA PREE","17353","17450",
"ST LEGER","17354","17800",
"STE LHEURINE","17355","17520",
"ST LOUP","17356","17380",
"ST MAIGRIN","17357","17520",
"ST MANDE SUR BREDOIRE","17358","17470",
"ST MARD","17359","17700",
"STE MARIE DE RE","17360","17740",
"ST MARTIAL","17361","17330",
"ST MARTIAL DE MIRAMBEAU","17362","17150",
"ST MARTIAL DE VITATERNE","17363","17500",
"ST MARTIAL SUR NE","17364","17520",
"ST MARTIN D ARY","17365","17270",
"ST MARTIN DE COUX","17366","17360",
"ST MARTIN DE JUILLERS","17367","17400",
"ST MARTIN DE RE","17369","17410",
"ST MEDARD","17372","17500",
"ST MEDARD D AUNIS","17373","17220",
"STE MEME","17374","17770",
"ST NAZAIRE SUR CHARENTE","17375","17780",
"ST OUEN D AUNIS","17376","17230",
"ST OUEN LA THENE","17377","17490",
"ST PALAIS DE NEGRIGNAC","17378","17210",
"ST PALAIS DE PHIOLIN","17379","17800",
"ST PALAIS SUR MER","17380","17420",
"ST PALAIS SUR MER","17380","17420","COURLAY SUR MER"
"ST PARDOULT","17381","17400",
"ST PIERRE D AMILLY","17382","17700",
"ST PIERRE DE JUILLERS","17383","17400",
"ST PIERRE DE L ISLE","17384","17330",
"ST PIERRE D OLERON","17385","17310",
"ST PIERRE D OLERON","17385","17310","LA COTINIERE"
"ST PIERRE DU PALAIS","17386","17270",
"ST PORCHAIRE","17387","17250",
"ST QUANTIN DE RANCANNE","17388","17800",
"STE RADEGONDE","17389","17250",
"STE RAMEE","17390","17240",
"ST ROGATIEN","17391","17220",
"ST ROMAIN DE BENET","17393","17600",
"ST SATURNIN DU BOIS","17394","17700",
"ST SAUVANT","17395","17610",
"ST SAUVEUR D AUNIS","17396","17540",
"ST SAVINIEN","17397","17350",
"ST SAVINIEN","17397","17350","AGONNAY"
"ST SAVINIEN","17397","17350","COULONGE SUR CHARENTE"
"ST SEURIN DE PALENNE","17398","17800",
"ST SEVER DE SAINTONGE","17400","17800",
"ST SEVERIN SUR BOUTONNE","17401","17330",
"ST SIGISMOND DE CLERMONT","17402","17240",
"ST SIMON DE BORDES","17403","17500",
"ST SIMON DE PELLOUAILLE","17404","17260",
"ST SORLIN DE CONAC","17405","17150",
"ST SORNIN","17406","17600",
"STE SOULLE","17407","17220",
"STE SOULLE","17407","17220","LES GRANDES RIVIERES"
"ST SULPICE D ARNOULT","17408","17250",
"ST SULPICE DE ROYAN","17409","17200",
"ST THOMAS DE CONAC","17410","17150",
"ST TROJAN LES BAINS","17411","17370",
"ST VAIZE","17412","17100",
"ST VIVIEN","17413","17220",
"ST XANDRE","17414","17138",
"SAINTES","17415","17100",
"SALEIGNES","17416","17510",
"SALIGNAC DE MIRAMBEAU","17417","17130",
"SALIGNAC SUR CHARENTE","17418","17800",
"SALLES SUR MER","17420","17220",
"SAUJON","17421","17600",
"SEIGNE","17422","17510",
"SEMILLAC","17423","17150",
"SEMOUSSAC","17424","17150",
"SEMUSSAC","17425","17120",
"LE SEURE","17426","17770",
"SIECQ","17427","17490",
"SONNAC","17428","17160",
"SOUBISE","17429","17780",
"SOUBRAN","17430","17150",
"SOULIGNONNE","17431","17250",
"SOUMERAS","17432","17130",
"SOUSMOULINS","17433","17130",
"SURGERES","17434","17700",
"TAILLANT","17435","17350",
"TAILLEBOURG","17436","17350",
"TALMONT SUR GIRONDE","17437","17120",
"TANZAC","17438","17260",
"TAUGON","17439","17170",
"TERNANT","17440","17400",
"TESSON","17441","17460",
"THAIMS","17442","17120",
"THAIRE","17443","17290",
"THENAC","17444","17460",
"THEZAC","17445","17600",
"THORS","17446","17160",
"LE THOU","17447","17290",
"TONNAY BOUTONNE","17448","17380",
"TONNAY CHARENTE","17449","17430",
"TORXE","17450","17380",
"LES TOUCHES DE PERIGNY","17451","17160",
"LA TREMBLADE","17452","17390",
"LA TREMBLADE","17452","17390","RONCE LES BAINS"
"TRIZAY","17453","17250",
"TUGERAS ST MAURICE","17454","17130",
"TUGERAS ST MAURICE","17454","17130","ST MAURICE DE LAURENCANNE"
"LA VALLEE","17455","17250",
"LA DEVISE","17457","17380","CHERVETTES"
"LA DEVISE","17457","17380","ST LAURENT DE LA BARRIERE"
"LA DEVISE","17457","17700","VANDRE"
"VANZAC","17458","17500",
"VARAIZE","17459","17400",
"VARZAY","17460","17460",
"VAUX SUR MER","17461","17640",
"VENERAND","17462","17100",
"VERGEROUX","17463","17300",
"VERGNE","17464","17330",
"LA VERGNE","17465","17400",
"VERINES","17466","17540",
"VERVANT","17467","17400",
"VIBRAC","17468","17130",
"VILLARS EN PONS","17469","17260",
"VILLARS LES BOIS","17470","17770",
"LA VILLEDIEU","17471","17470",
"VILLEDOUX","17472","17230",
"VILLEMORIN","17473","17470",
"VILLENEUVE LA COMTESSE","17474","17330",
"VILLENEUVE LA COMTESSE","17474","17330","VILLENOUVELLE"
"VILLEXAVIER","17476","17500",
"VILLIERS COUTURE","17477","17510",
"VINAX","17478","17510",
"VIROLLET","17479","17260",
"VIRSON","17480","17290",
"VOISSAY","17481","17400",
"VOUHE","17482","17700",
"YVES","17483","17340",
"YVES","17483","17340","LES BOUCHOLEURS"
"PORT DES BARQUES","17484","17730",
"LE GRAND VILLAGE PLAGE","17485","17370",
"LA BREE LES BAINS","17486","17840",
"ACHERES","18001","18250",
"AINAY LE VIEIL","18002","18200",
"LES AIX D ANGILLON","18003","18220",
"ALLOGNY","18004","18110",
"ALLOUIS","18005","18500",
"ANNOIX","18006","18340",
"APREMONT SUR ALLIER","18007","18150",
"ARCAY","18008","18340",
"ARCOMPS","18009","18200",
"ARCOMPS","18009","18200","FOSSE NOUVELLE"
"ARDENAIS","18010","18170",
"ARGENT SUR SAULDRE","18011","18410",
"ARGENVIERES","18012","18140",
"ARPHEUILLES","18013","18200",
"ASSIGNY","18014","18260",
"AUBIGNY SUR NERE","18015","18700",
"AUBINGES","18016","18220",
"AUGY SUR AUBOIS","18017","18600",
"AVORD","18018","18520",
"AZY","18019","18220",
"BANNAY","18020","18300",
"BANNEGON","18021","18210",
"BARLIEU","18022","18260",
"BAUGY","18023","18800",
"BAUGY","18023","18800","LAVERDINES"
"BAUGY","18023","18800","SALIGNY LE VIF"
"BEDDES","18024","18370",
"BEFFES","18025","18320",
"BELLEVILLE SUR LOIRE","18026","18240",
"BENGY SUR CRAON","18027","18520",
"BERRY BOUY","18028","18500",
"BESSAIS LE FROMENTAL","18029","18210",
"BLANCAFORT","18030","18410",
"BLET","18031","18350",
"BOULLERET","18032","18240",
"BOURGES","18033","18000",
"BOUZAIS","18034","18200",
"BRECY","18035","18220",
"BRINAY","18036","18120",
"BRINON SUR SAULDRE","18037","18410",
"BRUERE ALLICHAMPS","18038","18200",
"BUE","18039","18300",
"BUSSY","18040","18130",
"LA CELETTE","18041","18360",
"LA CELLE","18042","18200",
"LA CELLE CONDE","18043","18160",
"CERBOIS","18044","18120",
"CHALIVOY MILON","18045","18130",
"CHAMBON","18046","18190",
"LA CHAPELLE D ANGILLON","18047","18380",
"LA CHAPELLE HUGON","18048","18150",
"LA CHAPELLE MONTLINARD","18049","18140",
"LA CHAPELLE ST URSIN","18050","18570",
"LA CHAPELOTTE","18051","18250",
"CHARENTON DU CHER","18052","18210",
"CHARENTONNAY","18053","18140",
"CHARLY","18054","18350",
"CHAROST","18055","18290",
"CHASSY","18056","18800",
"CHASSY","18056","18800","DEJOINTES"
"CHATEAUMEILLANT","18057","18370",
"CHATEAUNEUF SUR CHER","18058","18190",
"LE CHATELET","18059","18170",
"CHAUMONT","18060","18350",
"CHAUMOUX MARCILLY","18061","18140",
"LE CHAUTAY","18062","18150",
"CHAVANNES","18063","18190",
"CHERY","18064","18120",
"CHEZAL BENOIT","18065","18160",
"CIVRAY","18066","18290",
"CLEMONT","18067","18410",
"COGNY","18068","18130",
"COLOMBIERS","18069","18200",
"CONCRESSAULT","18070","18260",
"CONTRES","18071","18130",
"CORNUSSE","18072","18350",
"CORQUOY","18073","18190",
"CORQUOY","18073","18340","STE LUNAISE"
"COUARGUES","18074","18300",
"COURS LES BARRES","18075","18320",
"COUST","18076","18210",
"COUY","18077","18140",
"CREZANCAY SUR CHER","18078","18190",
"CREZANCY EN SANCERRE","18079","18300",
"CROISY","18080","18350",
"CROSSES","18081","18340",
"CUFFY","18082","18150",
"CULAN","18083","18270",
"DAMPIERRE EN CROT","18084","18260",
"DAMPIERRE EN GRACAY","18085","18310",
"DREVANT","18086","18200",
"DUN SUR AURON","18087","18130",
"ENNORDRES","18088","18380",
"EPINEUIL LE FLEURIEL","18089","18360",
"ETRECHY","18090","18800",
"FARGES ALLICHAMPS","18091","18200",
"FARGES EN SEPTAINE","18092","18800",
"FAVERDINES","18093","18360",
"FEUX","18094","18300",
"FLAVIGNY","18095","18350",
"FOECY","18096","18500",
"FUSSY","18097","18110",
"GARDEFORT","18098","18300",
"GARIGNY","18099","18140",
"GENOUILLY","18100","18310",
"GERMIGNY L EXEMPT","18101","18150",
"GIVARDON","18102","18600",
"GRACAY","18103","18310",
"GROISES","18104","18140",
"GRON","18105","18800",
"GROSSOUVRE","18106","18600",
"LA GROUTTE","18107","18200",
"LA GUERCHE SUR L AUBOIS","18108","18150",
"HENRICHEMONT","18109","18250",
"HERRY","18110","18140",
"HUMBLIGNY","18111","18250",
"IDS ST ROCH","18112","18170",
"IGNOL","18113","18350",
"INEUIL","18114","18160",
"IVOY LE PRE","18115","18380",
"JALOGNES","18116","18300",
"JARS","18117","18260",
"JOUET SUR L AUBOIS","18118","18320",
"JUSSY CHAMPAGNE","18119","18130",
"JUSSY LE CHAUDRIER","18120","18140",
"LANTAN","18121","18130",
"LAPAN","18122","18340",
"LAZENAY","18124","18120",
"LERE","18125","18240",
"LEVET","18126","18340",
"LIGNIERES","18127","18160",
"LIMEUX","18128","18120",
"LISSAY LOCHY","18129","18340",
"LOYE SUR ARNON","18130","18170",
"LUGNY CHAMPAGNE","18132","18140",
"LUNERY","18133","18400",
